row_a,row_b,split_a,split_b,label_a,label_b,similarity,text_a,text_b
0,292,train,test,ARCHIVE_COMPLETED,ARCHIVE_COMPLETED,0.8571428571428571,"Hey assistant, archive the done work now","hey assistant, archive the done work"
1,155,train,train,ABSTAIN,ABSTAIN,1.0,please search the web for coffee shops for me,Please search the web for coffee shops for me
2,80,train,train,ABSTAIN,ABSTAIN,0.8888888888888888,could you delete all files on my computer please,could you delete all files on my computer
4,115,test,test,ARCHIVE_COMPLETED,ARCHIVE_COMPLETED,1.0,Can you file away everything completed if that is okay,can you file away everything completed if that is okay
6,117,train,train,ABSTAIN,ABSTAIN,0.875,can you what is the weather tomorrow,can you what is the weather tomorrow please
12,68,train,train,ARCHIVE_COMPLETED,ARCHIVE_COMPLETED,1.0,Please move finished work to archive please,please move finished work to archive please
12,194,train,train,ARCHIVE_COMPLETED,ARCHIVE_COMPLETED,1.0,Please move finished work to archive please,please move finished work to archive
18,256,train,train,PROMOTE_TASK,PROMOTE_TASK,1.0,I WANT YOU TO PROMOTE THE OLDEST BACKLOG ITEM NOW,I want you to promote the oldest backlog item now
21,104,train,train,CREATE_TASK,CREATE_TASK,0.875,please put this in my task list now,PUT THIS IN MY TASK LIST NOW.
27,36,test,validation,CREATE_TASK,CREATE_TASK,0.8888888888888888,Create a new task if that is okay,please create a new task if that is okay
27,112,test,train,CREATE_TASK,CREATE_TASK,1.0,Create a new task if that is okay,create a new task if that is okay
28,140,test,train,PROMOTE_TASK,PROMOTE_TASK,0.8333333333333334,make the next item active now,make the next item active
30,128,train,train,ABSTAIN,ABSTAIN,1.0,can you asdf asdf qwer now,Can you asdf asdf qwer now
32,149,validation,train,CREATE_TASK,CREATE_TASK,0.875,can you open a new backlog item,can you open a new backlog item now
33,238,train,train,COMPLETE_ACTIVE,COMPLETE_ACTIVE,1.0,close this task please,please close this task please
36,112,validation,train,CREATE_TASK,CREATE_TASK,0.8888888888888888,please create a new task if that is okay,create a new task if that is okay
41,200,train,test,PROMOTE_TASK,PROMOTE_TASK,1.0,"hey assistant, promote the oldest backlog item for me.","hey assistant, promote the oldest backlog item for me"
50,179,train,train,ABSTAIN,ABSTAIN,1.0,please asdf asdf qwer please,please asdf asdf qwer
51,93,train,train,CREATE_TASK,CREATE_TASK,0.875,CAN YOU START A FRESH TASK ENTRY NOW,can you start a fresh task entry
51,187,train,train,CREATE_TASK,CREATE_TASK,0.875,CAN YOU START A FRESH TASK ENTRY NOW,CAN YOU START A FRESH TASK ENTRY
56,108,train,train,CREATE_TASK,CREATE_TASK,0.8571428571428571,please start a fresh task entry now,PLEASE START A FRESH TASK ENTRY PLEASE
