text,label,split,template_family,subset,notes
write a haiku about control dot on alpha lane 6,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unrelated_5,abstain_unrelated,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
raise the west cell sample 2 by a single cell on charlie lane 2,MOVE_UP,test,vectorbot_test_MOVE_UP_paraphrase_1,paraphrase,Executable VectorBot action paraphrase.
shift the demo bot to the upper cell on alpha lane 5,MOVE_UP,train,vectorbot_train_MOVE_UP_spatial_synonym_4,spatial_synonym,Executable VectorBot action paraphrase.
send private tokens for vector sprite on alpha lane 12,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unsafe_11,abstain_unsafe,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
home position tiny robot alpha lane 3,RESET,train,vectorbot_train_RESET_terse_2,terse,Executable VectorBot action paraphrase.
start over latent bot sample 8 alpha lane 8,RESET,train,vectorbot_train_RESET_terse_7,terse,Executable VectorBot action paraphrase.
nudge the square rover one column left on alpha lane 7,MOVE_LEFT,train,vectorbot_train_MOVE_LEFT_paraphrase_6,paraphrase,Executable VectorBot action paraphrase.
move the south cell sample 1 right on charlie lane 1,MOVE_RIGHT,test,vectorbot_test_MOVE_RIGHT_clean_0,clean,Executable VectorBot action paraphrase.
move left and switch the light for quiet bot on alpha lane 24,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_compound_23,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
north east cell charlie lane 3,MOVE_UP,test,vectorbot_test_MOVE_UP_terse_2,terse,Executable VectorBot action paraphrase.
do the usual grid thing for board piece on alpha lane 10,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_ambiguous_9,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
mervo the latent bot sample 8 sideways maybe on alpha lane 8,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_gibberish_7,abstain_gibberish,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
move the center bot up on alpha lane 1,MOVE_UP,train,vectorbot_train_MOVE_UP_clean_0,clean,Executable VectorBot action paraphrase.
move the toy agent up and then right on alpha lane 9,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_compound_8,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
