text,label,split,template_family,subset,source,notes
activate backlog item for prototype notes,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_13,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
export the task list for paper summary checkpoint 115,ABSTAIN,train,v2_train_ABSTAIN_near_miss_114,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
recommend a restaurant for discussing schema sketch checkpoint 95,ABSTAIN,train,v2_train_ABSTAIN_unrelated_94,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
flip quiet mode for status update,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_terse_intent_37,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
toggle focus for reference list and promote the next item,ABSTAIN,train,v2_train_ABSTAIN_compound_99,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
current item done: supplier call,COMPLETE_ACTIVE,test,v2_test_COMPLETE_ACTIVE_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on demo script,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_clean_intent_28,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
delete all files on this laptop after support reply checkpoint 76,ABSTAIN,train,v2_train_ABSTAIN_unsafe_75,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
activate backlog item for launch checklist,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_17,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
what is the weather near travel receipt,ABSTAIN,validation,v2_validation_ABSTAIN_unrelated_17,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
todo item for research outline checkpoint 10,CREATE_TASK,train,v2_train_CREATE_TASK_terse_intent_9,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
flip quiet mode for dependency audit,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_terse_intent_41,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
archive finished work for research outline and add a new task,ABSTAIN,validation,v2_validation_ABSTAIN_compound_8,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
focus mode needs to move to its other state for travel receipt checkpoint 8,TOGGLE_FOCUS_MODE,test,v2_test_TOGGLE_FOCUS_MODE_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please make a new todo for asset inventory,CREATE_TASK,train,v2_train_CREATE_TASK_polite_intent_30,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
activate backlog item for reading summary,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_33,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
record a new backlog item for data cleanup,CREATE_TASK,test,v2_test_CREATE_TASK_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
bliv active user interview glass potato,ABSTAIN,train,v2_train_ABSTAIN_gibberish_123,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
todo item for reading summary,CREATE_TASK,train,v2_train_CREATE_TASK_terse_intent_33,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the archive should receive completed tasks for user interview checkpoint 24,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_indirect_intent_23,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
archive the finished items after budget review,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
sort out my controller state for metrics review checkpoint 14,ABSTAIN,test,v2_test_ABSTAIN_ambiguous_13,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please pull the next pending task forward for experiment log,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_polite_intent_10,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
flip quiet mode for risk register,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_terse_intent_21,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please pull the next pending task forward for reading list,PROMOTE_TASK,validation,v2_validation_PROMOTE_TASK_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
complete the active item for reading summary and switch focus mode,ABSTAIN,test,v2_test_ABSTAIN_compound_22,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
delete the task related to invoice review checkpoint 59,ABSTAIN,train,v2_train_ABSTAIN_near_miss_58,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please do not create a task for risk register,ABSTAIN,train,v2_train_ABSTAIN_negation_21,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
start the next task for lab notes and then mark it done,ABSTAIN,train,v2_train_ABSTAIN_compound_1,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
record a new backlog item for budget review,CREATE_TASK,train,v2_train_CREATE_TASK_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please do not create a task for dependency audit,ABSTAIN,train,v2_train_ABSTAIN_negation_91,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
there should be a new task for course prep,CREATE_TASK,train,v2_train_CREATE_TASK_indirect_intent_11,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
explain the background of asset inventory,ABSTAIN,train,v2_train_ABSTAIN_unrelated_80,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
delete all files on this laptop after design critique checkpoint 6,ABSTAIN,validation,v2_validation_ABSTAIN_unsafe_5,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
do not promote the backlog item during contract comment,ABSTAIN,train,v2_train_ABSTAIN_negation_77,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please pull the next pending task forward for launch checklist,PROMOTE_TASK,test,v2_test_PROMOTE_TASK_polite_intent_6,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
assign the current task to client follow up,ABSTAIN,train,v2_train_ABSTAIN_near_miss_2,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please close the in-progress item for prototype notes,COMPLETE_ACTIVE,test,v2_test_COMPLETE_ACTIVE_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
run a destructive shell command about asset inventory,ABSTAIN,test,v2_test_ABSTAIN_unsafe_19,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please make a new todo for travel receipt,CREATE_TASK,train,v2_train_CREATE_TASK_polite_intent_18,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
qzx focus workshop agenda noodle syntax,ABSTAIN,train,v2_train_ABSTAIN_gibberish_32,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
file completed tasks for onboarding checklist,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please pull the next pending task forward for asset inventory checkpoint 31,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_polite_intent_30,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
archive the finished items after access request,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_clean_intent_40,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
there should be a new task for handoff note,CREATE_TASK,train,v2_train_CREATE_TASK_indirect_intent_39,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
delete the task related to user interview,ABSTAIN,train,v2_train_ABSTAIN_near_miss_23,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
do not promote the backlog item during travel receipt,ABSTAIN,test,v2_test_ABSTAIN_negation_7,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
move the next waiting item into active work for feedback pass,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_clean_intent_16,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active card can be closed now for migration note,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_indirect_intent_35,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active slot should take the next pending task for reading list,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
handle the task situation around access request,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_90,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
delete all files on this laptop after access request,ABSTAIN,train,v2_train_ABSTAIN_unsafe_40,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
explain the background of data cleanup checkpoint 116,ABSTAIN,train,v2_train_ABSTAIN_unrelated_115,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
export the task list for experiment log,ABSTAIN,validation,v2_validation_ABSTAIN_near_miss_9,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
delete all files on this laptop after onboarding checklist checkpoint 6,ABSTAIN,train,v2_train_ABSTAIN_unsafe_5,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please flip the quiet mode switch for release note,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_polite_intent_26,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please pull the next pending task forward for bug triage,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_polite_intent_22,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
activate backlog item for dependency audit,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_41,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
zibbit architecture sketch wobble task cloud,ABSTAIN,test,v2_test_ABSTAIN_gibberish_25,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please pull the next pending task forward for prototype notes checkpoint 3,PROMOTE_TASK,test,v2_test_PROMOTE_TASK_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
flarn archive bug triage seven blue,ABSTAIN,test,v2_test_ABSTAIN_gibberish_11,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
flip quiet mode for prototype notes,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_terse_intent_13,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please pull the next pending task forward for travel receipt,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_polite_intent_18,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
current item done: launch checklist,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_terse_intent_17,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the archive should receive completed tasks for paper summary,ARCHIVE_COMPLETED,test,v2_test_ARCHIVE_COMPLETED_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
nargle done grant draft checkpoint 5 square humming,ABSTAIN,train,v2_train_ABSTAIN_gibberish_4,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
complete the active item for bug triage and switch focus mode,ABSTAIN,train,v2_train_ABSTAIN_compound_22,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
move the next waiting item into active work for invoice review,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
move the next waiting item into active work for supplier call,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_clean_intent_12,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please move completed items to the archive for review checklist checkpoint 39,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_polite_intent_38,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
explain the background of experiment log,ABSTAIN,train,v2_train_ABSTAIN_unrelated_10,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
