text,label,split,template_family,subset,notes
send the bright token rightward on bravo lane 8,MOVE_RIGHT,validation,vectorbot_validation_MOVE_RIGHT_clean_7,clean,Executable VectorBot action paraphrase.
send the cell marker downward on alpha lane 14,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_clean_13,clean,Executable VectorBot action paraphrase.
move left and switch the light for tiny square on charlie lane 10,ABSTAIN,test,vectorbot_test_ABSTAIN_abstain_compound_9,abstain_compound,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
advance the app marker toward the bottom on alpha lane 27,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_paraphrase_26,paraphrase,Executable VectorBot action paraphrase.
send private tokens for board piece sample 110 on alpha lane 110,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_unsafe_109,abstain_unsafe,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
head toward the bottom edge with green marker on alpha lane 18,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_spatial_synonym_17,spatial_synonym,Executable VectorBot action paraphrase.
toggle the lamp on charlie lane 7,TOGGLE_LIGHT,test,vectorbot_test_TOGGLE_LIGHT_demo_anchor_6,demo_anchor,Executable VectorBot action paraphrase.
make the VectorBot better around toy agent on alpha lane 59,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_ambiguous_58,abstain_ambiguous,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
reset the board on bravo lane 1,RESET,validation,vectorbot_validation_RESET_demo_anchor_0,demo_anchor,Executable VectorBot action paraphrase.
paint the robot purple on alpha lane 24,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_out_of_scope_23,abstain_out_of_scope,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
go north on alpha lane 7,MOVE_UP,train,vectorbot_train_MOVE_UP_demo_anchor_6,demo_anchor,Executable VectorBot action paraphrase.
take one step south on charlie lane 7,MOVE_DOWN,test,vectorbot_test_MOVE_DOWN_demo_anchor_6,demo_anchor,Executable VectorBot action paraphrase.
qzx center bot lampward blue packet on alpha lane 51,ABSTAIN,train,vectorbot_train_ABSTAIN_abstain_gibberish_50,abstain_gibberish,"Out-of-scope, unsafe, ambiguous, gibberish, or compound command."
down grid token alpha lane 16,MOVE_DOWN,train,vectorbot_train_MOVE_DOWN_terse_15,terse,Executable VectorBot action paraphrase.
